Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
Exploitation [Pr]	Premier	01-123	8	Enhancement	Location	  	  	  	  	  		Common		01-123 C2	Target another race's location you control.  Treat target location as if you had originally sponsored it (you gain all benefits of the location's effect text).
Exploration	Premier	01-124	  	Event		  	  	  	  	  		Common		01-124 C2	Unique.  Discard one of your ready fleets.  Apply influence equal to the fleet's Military.  You gain +1 influence for every 5 Military ability of the fleet you discarded.
Extended Contacts [Pr]	Premier	01-125	8	Group		  	  	  	  	  		Common		01-125 C2	Rotate and target a character.  That character gains +2 Intrigue while this group remains rotated. [ERRATA]
Extreme Sanction [Pr]	Premier	01-126	  	Conflict	Diplomacy	  	  	  	  	  	Doom	Uncommon		01-126 U2	Your ambassador gains a Doom Mark.  Target a supporting character of another faction.  If successful, apply influence equal to the target character's cost.  Remove the character from play.  (If limited, no copy of that character can reenter play.) [ERRATA]
Finish the War [Pr]	Premier	01-127	  	Agenda	Minbari	  	  	  	  	  		Fixed	Minbari	01-127 F2	Once per turn you may lose 1 influence to raise your tension toward the Humans by 1.  If your tension toward the Humans is at 5, you may declare war conflicts against human factions and they may declare war conflicts against you. [ERRATA]
First Battle Fleet (Centauri) [Pr]	Premier	01-128	8	Fleet	Centauri	  	  	  	  	7		Fixed	Centauri	01-128 F2	
First Battle Fleet (Human) [Pr]	Premier	01-129	8	Fleet	Human	  	  	  	  	7		Fixed	Human	01-129 F2	
First Battle Fleet (Minbari) [Pr]	Premier	01-130	10	Fleet	Minbari	  	  	  	  	9		Fixed	Minbari	01-130 F2	
First Battle Fleet (Narn) [Pr]	Premier	01-131	9	Fleet	Narn	  	  	  	  	8		Fixed	Narn	01-131 F2	
Fixed in Their Ways [Pr]	Premier	01-132	4	Enhancement	Faction	  	  	  	  	  	Vorlon	Uncommon		01-132 U2	Requires 1 Vorlon Mark to play. Target yourself.  Each turn in which you must discard a fleet to a card which required Shadow Marks to bring into play, your ambassador gains 1 Vorlon Mark.  Your ambassador gains 1 Vorlon Mark when you sponsor this enhancement.
Fleet Support Base [Pr]	Premier	01-133	8	Enhancement	Location	  	  	  	  	  		Fixed	Narn	01-133 F2	Target one of your locations.  Rotate this enhancement to repair up to 4 total points of damage from any combination of fleets you control.
Fleet of the Line [Pr]	Premier	01-134	10	Fleet	Human	  	  	  	  	8		Rare 2		01-134 R2	This fleet gains +4 Military while participating in a Military conflict that targets you.
Fleets on the Border [Pr]	Premier	01-135	1	Event		  	  	  	  	  		Common	Non-Aligned	01-135 C2	All players may use their Military to support or oppose a target Diplomacy conflict.
Focus Your Efforts [Pr]	Premier	01-136	  	Aftermath	Won	  	  	  	  	  		Uncommon		01-136 U2	Target one of your participant characters. Reduce one of his abilities (of 2 or more) by 2, and raise another of his abilities by 2.
For My People [Pr]	Premier	01-137	  	Event		  	  	  	  	  	Destiny	Common		01-137 C2	Rotate and neutralize your ambassador.  Your ambassador gains a Destiny Mark. [ERRATA]
For the Common Good [Pr]	Premier	01-138	  	Event		  	  	  	  	  		Common		01-138 C2	Rotate your ambassador and lose 1 influence. Babylon 5 gains 2 influence.
For the Good of All [Pr]	Premier	01-139	  	Event		  	  	  	  	  		Fixed	Narn	01-139 F2	For each of your characters or fleets that is neutralized this turn, and for each Destiny Mark you have, you gain +2 influence to use on the next turn only.  This influence does not count toward power.
Forced Commitment [Pr]	Premier	01-140	1	Enhancement	Faction	  	  	  	  	  		Rare 2		01-140 R2	Target yourself.  Any war conflict initiated against you must be supported by at least two fleets or the initiator automatically loses the conflict.  Apply 5 influence during the draw round, or discard this enhancement.
Forced Evolution [Pr]	Premier	01-141	  	Agenda	Major	  	  	  	  	  		Rare 2		01-141 R2	Requires 5 Shadow marks. Count the Shadow's influence minus the Vorlon's influence as power. You may transfer 1 influence per turn to the Shadows. Rotate agenda and apply target fleet's influence cost to neutralize 1 fleet with Military less than Shadow influence; purge 1 Shadow Mark from your faction.
Forced Impairment [Pr]	Premier	01-142	  	Conflict	Intrigue	  	  	  	  	  		Rare 2		01-142 R2	Target one card.  If successful, this conflict becomes an enhancement on the target card.  While enhanced by this card, treat the card as if its effect text were blank.
Forces Collide [Pr]	Premier	01-143	  	Event		  	  	  	  	  		Rare 2		01-143 R2	Requires 3 Shadow Marks to play.  Target one enhancement.  Apply influence equal to the cost of the enhancement, plus 1 per Vorlon Mark required to play the card.  Discard the enhancement.
Frederick Lantz [Pr]	Premier	01-144	9	Character	Human	7	  	  	  	  		Fixed	Human	01-144 F2	If there are any conflicts in play which can raise tension that Frederick Lantz can oppose, Frederick Lantz must oppose one.  You cannot pass until he has done so. [ERRATA]
Free the Souls [Pr]	Premier	01-145	  	Conflict	Intrigue	  	  	  	  	  	Destiny	Rare 2		01-145 R2	If this conflict is successful, discard every Soul Hunter in play.  If you win by 5 or more, your ambassador gains a Destiny Mark and this card becomes aftermath. While it is in play no player may sponsor a Soul Hunter.
G'Drog [Pr]	Premier	01-146	6	Character	Narn	2	  	  	3	  		Common		01-146 C2	Any ready fleet led by  G'Drog can take damage in place of any Narn fleet being attacked.  G'Drog's fleet is then rotated.
G'Kar [Pr]	Premier	01-147	  	Character	Narn	5	1	  	3	  	Strife	Fixed	Narn	01-147 F2	Starting Narn Ambassador.  Member of the Kha'Ri.  G'Kar gains +2 Intrigue while he is the target of an Intrigue conflict.
G'Sten [Pr]	Premier	01-148	12	Character	Narn	8	  	  	5	  		Rare 2		01-148 R2	Narn Warleader.  Member of the Kha'Ri.  While ready, you may cause a Narn fleet that is attacked to suffer only half damage.  If this effect is applied rotate G'Sten.
Garrison Fleet [Pr]	Premier	01-149	4	Fleet	Centauri	  	  	  	  	4		Uncommon		01-149 U2	Multiple. Can only participate in conflicts targeting you.
General Franklin [Pr]	Premier	01-150	8	Character	Human	3	  	  	3	  		Uncommon		01-150 U2	General Franklin gains +5 Leadership while leading a fleet that is supporting a Military conflict that targets a location.
General Hague [Pr]	Premier	01-151	10	Character	Human	3	3	  	3	  		Fixed	Human	01-151 F2	Rotate General Hague as an action to add a construction token to this card.  Each time you sponsor a fleet, remove all construction tokens from General Hague.  Each token removed reduces the cost for your to sponsor that fleet by 2 (to a minimum cost of 0). [ERRATA]
Glory [Pr]	Premier	01-152	  	Aftermath	Won Diplomacy or Military	  	  	  	  	  	Destiny	Rare 2		01-152 R2	Target ambassador gains a Destiny Mark.
Government Opposition [Pr]	Premier	01-153	6	Group		  	  	  	  	  		Rare 2		01-153 R2	Choose a race for this group to affect when its first played.  Rotate and apply influence equal to the cost of a target group of that race.  Treat that group as if it had no effect text for the rest of the turn.
Grey Council Fleet [Pr]	Premier	01-154	13	Fleet	Minbari	  	  	  	  	13		Rare 2		01-154 R2	You may only initiate Military conflicts that target a player with whom you are at war.  This fleet may be promoted to your Inner Circle. If this fleet is then neutralized, treat it as an Inner Circle character until unneutralized and is not discarded.  (The fleet is not otherwise treated as an Inner Circle character.) [ERRATA]
Grievance [Pr]	Premier	01-155	  	Aftermath	Won	  	  	  	  	  		Uncommon		01-155 U2	Target the winner of the conflict.  Hold a Babylon 5 vote.  If the vote passes, target loses 1 influence, while you and Babylon 5 gain 1 influence.  If the vote fails, you lose 1 influence.  (Discard this aftermath after play.) [ERRATA]
Growth in Chaos [Pr]	Premier	01-156	  	Agenda	Centauri	  	  	  	  	  	Shadow	Common		01-156 C2	Your ambassador gains a Shadow Mark. The cost for you to play cards requiring Shadow Marks is reduced by 1 for each Shadow Mark you have.  You may rotate this agenda to give a character +1 Leadership per Shadow Mark you have for the rest of the turn.  Count each 2 Shadow Marks you have as 1 power.
Guilt [Pr]	Premier	01-157	  	Aftermath	Won Military Participant	  	  	  	  	  		Uncommon		01-157 U2	Target a character who led a fleet that made an attack during the conflict. Any fleets the character leads may not attack.
Gunboat Diplomacy [Pr]	Premier	01-158	  	Conflict	Military	  	  	  	  	  		Fixed	Centauri, Narn, Non-Aligned	01-158 F2	Target another race. If successful, players of that race lose 1 influence, and you gain +1 influence if you win by 5-9, or +2 influence if you win by 10 or more.  If unsuccessful, exchange recipients of these effects.  If one or more fleet attacks occur, Babylon 5 loses 1 influence and all players' tensions grow by 1 toward the race of the fleet that first attacked. [ERRATA]
Harvest Souls [Pr]	Premier	01-159	  	Aftermath	Participant	  	  	  	  	  	Destiny	Rare 2		01-159 R2	Rotate a Soul Hunter you control.  Your ambassador gains all the Destiny Marks from all supporting characters neutralized in the conflict.  (Discard this aftermath after play.) [ERRATA]
Hate Crime [Pr]	Premier	01-160	  	Conflict	Intrigue	  	  	  	  	  		Uncommon		01-160 U2	Target another player's supporting character.  For each 5 strength by which this conflict succeeds, Babylon 5 loses 1 influence.  If you succeed by 10 or more, discard target supporting character. [ERRATA]
Heavy Fleet [Pr]	Premier	01-161	7	Fleet	Narn	  	  	  	  	6		Rare 2		01-161 R2	Multiple.
Hedronn	Premier	01-162	9	Character	Minbari	6	3	  	  	  		Fixed	Minbari	01-162 F2	Grey Council Member. Warrior Caste.  Rotate Hedronn and target a Minbari character. The target character rotates (for no effect).
Hidden Agent [Pr]	Premier	01-163	  	Aftermath	Won Intrigue	  	  	  	  	  		Fixed	Centauri	01-163 F2	Target your ambassador.  Select another faction that participated in the conflict.  Discard any Hidden Agent that faction has affecting your faction.  The selected player must choose and show you his face-down conflict card before you choose your conflict each turn. [ERRATA]
Hidden Knowledge [Pr]	Premier	01-164	  	Event		  	  	  	  	  		Fixed	Minbari	01-164 F2	Requires 2 Vorlon Marks to play.  Apply up to 5 influence per player.  You may look at a number of cards from the top of each player's deck equal to the amount of influence you applied for that player.  Replace the cards in any order you desire.
Higher Calling [Pr]	Premier	01-165	  	Agenda		  	  	  	  	  		Common		01-165 C2	Count each 2 Destiny Marks your characters have as 1 power.  Your ambassador gains +4 to each of his abilities while participating in any conflict which can result in your faction gaining a Destiny Mark.  Shadow Marks and Vorlon Marks on all characters for all factions count double. [ERRATA]
Hire Raiders [Pr]	Premier	01-166	  	Event		  	  	  	  	  	Doom	Common		01-166 C2	Rotate one of your characters with Intrigue.  For each influence you apply, up to a maximum of the character's Intrigue, do 1 point of damage to a target fleet.  Your character gains a Doom Mark.
Homeworld Fleet (Centauri)	Premier	01-167	7	Fleet	Centauri	  	  	  	  	8		Fixed	Centauri	01-167 F2	Can only participate in conflicts targeting you.
Homeworld Fleet (Human) [Pr]	Premier	01-168	6	Fleet	Human	  	  	  	  	7		Fixed	Human	01-168 F2	Can only participate in conflicts targeting you.
Homeworld Fleet (Minbari)	Premier	01-169	8	Fleet	Minbari	  	  	  	  	11		Fixed	Minbari	01-169 F2	Can only participate in conflicts targeting you.
Homeworld Fleet (Narn)	Premier	01-170	6	Fleet	Narn	  	  	  	  	7		Fixed	Narn	01-170 F2	Can only participate in conflicts targeting you unless you are at war.
Hour of the Wolf [Pr]	Premier	01-171	3	Event		  	  	  	  	  		Uncommon		01-171 U2	Ready an Inner Circle character who has rotated.  The effect of his action is not canceled.  If the character participated in a conflict, they cannot participate in that same conflict.
Human Agent [Pr]	Premier	01-172	3	Character	Human	  	2	  	  	  		Fixed	Human	01-172 F2	Multiple.
Human Aide [Pr]	Premier	01-173	4	Character	Human	3	  	  	  	  		Fixed	Human	01-173 F2	Multiple.
Human Captain [Pr]	Premier	01-174	3	Character	Human	  	  	  	2	  		Fixed	Human	01-174 F2	Multiple.
Humanitarian Aid [Pr]	Premier	01-175	  	Conflict	Diplomacy	  	  	  	  	  		Common		01-175 C2	Target a race that was the target of a won war conflict last turn.   If successful, Babylon 5 gains +2 influence, and each faction of the target race gains +1 influence. [ERRATA]
Hunted [Pr]	Premier	01-176	  	Aftermath	Intrigue Participant	  	  	  	  	  		Fixed	Narn	01-176 F2	Target a participant character.  Two influence must be applied each time the character is readied, or he remains rotated.
Hunter, Prey [Pr]	Premier	01-177	  	Conflict	Intrigue	  	  	  	  	  		Common		01-177 C2	If successful, this card becomes a faction enhancement which you can rotate to apply 2 Intrigue support or opposition to any Intrigue conflict.
ISN [Pr]	Premier	01-178	8	Group		  	  	  	  	  		Uncommon		01-178 U2	Media.   Rotate this group to reverse a tension change which occurred since your last action.
Immolan V [Pr]	Premier	01-179	6	Location	Centauri	  	  	  	  	15		Uncommon		01-179 U2	Location's Military may only be used to oppose conflicts targeting this location.  Rotate this location while your ambassador is supporting a conflict to give him +3 Intrigue for the rest of the turn.
Immortality Serum	Premier	01-180	  	Conflict	Diplomacy	  	  	  	  	  		Rare 2		01-180 R2	Unique.  Any player may be supported in this conflict. Whichever player has the most support gains +2 influence and all players' tensions toward that player increase by 1. Any player may use Military to support. If this is done, Babylon 5 loses 2 influence, and all players' tensions toward the player who first used Military increase by 1.
